Title,Published_date,Views,Likes,Comments
𝙏𝙚𝙯 𝙧𝙖𝙛𝙩𝙖𝙖𝙧 🔥Babar Azam - so good to watch 🤌#HBLPSL8 | #SabSitarayHumaray | #LQvPZ,2023-03-17T16:15:50Z,6890,401,1
And again! Scooping for fun is Mohammad Haris 🤩#HBLPSL8 | #SabSitarayHumaray | #LQvPZ,2023-03-17T16:15:48Z,8139,462,1
Splitting the gap with precision 👌Mr Google on 🔝#SabSitarayHumaray l #HBLPSL8 I #LQvPZ,2023-03-17T16:15:44Z,5102,271,0
This shot has it's own fanbase 😍#SabSitarayHumaray l #HBLPSL8 I #LQvPZ,2023-03-17T16:15:41Z,13113,985,9
The perfect start from Zaman Khan! 🔥#SabSitarayHumaray l #HBLPSL8 I #LQvPZ,2023-03-17T16:15:39Z,19206,1085,4
Stunning Batting By Mohammad Haris | Lahore vs Peshawar | Match 33 | HBL PSL 8 | MI2T,2023-03-17T15:59:26Z,106707,1410,37
"""You cannot bat or bowl. You have to hold your emotions and appreciate the players"" | Aqib Javed",2023-03-17T15:20:44Z,17176,155,6
1st Innings Powerplay | Lahore Qalandars vs Peshawar Zalmi | Match 33 | HBL PSL 8 | MI2T,2023-03-17T15:09:38Z,80069,955,9
Toss & Pitch Report | Lahore Qalandars vs Peshawar Zalmi | Match 33 | HBL PSL 8 | MI2T,2023-03-17T14:59:58Z,10488,232,4
Lahore Qalandars vs Peshawar Zalmi | Pitch Side Pre-Match Studio Show | Match 33 | HBL PSL 8 | MI2T,2023-03-17T14:46:42Z,6204,120,9
Opener | Lahore Qalandars vs Peshawar Zalmi | Match 33 | HBL PSL 8 | MI2T,2023-03-17T14:45:53Z,16274,269,6
Expert Advice | Lahore Qalandars vs Peshawar Zalmi | Match 33 | HBL PSL 8 | MI2T,2023-03-17T14:36:54Z,3887,90,1
Hamaray Heroes powered by Kingdom Valley - Episode 33 l Niaz Malik,2023-03-17T12:33:32Z,3707,175,16
Let's Recap Islamabad United's Fall of Wickets And Boundaries | Match 32 | HBL PSL 8 | MI2T,2023-03-17T12:00:30Z,6262,85,3
Great Batting By Sohaib Maqsood | Islamabad United vs Peshawar Zalmi | Match 32 | HBL PSL 8 | MI2T,2023-03-17T11:00:31Z,5026,147,16
HBL PSL 🌟 Star Life 🌟 With Mohammad Haris | MI2T,2023-03-17T09:44:06Z,25519,1325,34
Brilliant Partnership By Sohaib Maqsood & Alex Hales | Match 32 | HBL PSL 8 | MI2T,2023-03-17T09:00:42Z,4975,172,7
Salman Irshad Chatted with Aamir Jamal | HBL PSL 8 | MI2T,2023-03-17T07:58:32Z,13163,663,23
Let's Recap Peshawar Zalmi's Fall of Wickets And Boundaries | Match 32 | HBL PSL 8 | MI2T,2023-03-17T07:00:01Z,6097,82,2
Full Highlights | Islamabad United vs Peshawar Zalmi | Match 32 | HBL PSL 8 | MI2T,2023-03-16T20:06:49Z,1660901,33052,596
Short Highlights | Islamabad United vs Peshawar Zalmi | Match 32 | HBL PSL 8 | MI2T,2023-03-16T19:34:13Z,924839,16929,328
Islamabad United vs Peshawar Zalmi | Pitch Side End of Day Studio Show | Match 32 | HBL PSL 8 | MI2T,2023-03-16T19:07:20Z,22132,656,24
Closer | Islamabad United vs Peshawar Zalmi | Match 32 | HBL PSL 8 | MI2T,2023-03-16T18:33:05Z,11900,388,18
Incredible Bowling By Salman Irshad | Islamabad vs Peshawar | Match 32 | HBL PSL 8 | MI2T,2023-03-16T18:30:53Z,16834,371,14
